"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","NP","R"
"1",26.411042815,27,2706,"T1","K2","K201a","K201",0.520482356,-0.424067001
"2",26.285931415,28,2801,"T1","K2","K201a","K201",0.60623535,-0.473975972
"3",26.442051465,29,2903,"T1","K2","K201a","K201",0.79965963,-0.450002316
"4",26.34798866,30,3004,"T1","K2","K201a","K201",0.394626224,-0.523097009
"5",26.40792688,31,3106,"T1","K2","K201a","K201",0.435968512,-0.476526511
"6",26.495725565,32,3202,"T1","K2","K201a","K201",0.822977388,-0.575194017
"7",26.427346165,33,3303,"T1","K2","K201a","K201",0.536844339,-0.547466828
"8",26.42070666,34,3405,"T1","K2","K201a","K201",-0.006601794,-0.487635384
"9",26.418751425,27,2703,"T1","K2","K201b","K201",0.481147207,-0.440743931
"10",26.454835115,28,2805,"T1","K2","K201b","K201",0.457487706,-0.443637932
"11",26.296779,29,2906,"T1","K2","K201b","K201",0.427055455,-0.394691561
"12",26.486800255,30,3002,"T1","K2","K201b","K201",0.59897396,-0.505252
"13",26.35641924,31,3104,"T1","K2","K201b","K201",0.708926433,-0.530401043
"14",26.23352487,32,3205,"T1","K2","K201b","K201",0.546302922,-0.461092488
"15",26.40047864,33,3301,"T1","K2","K201b","K201",0.692069748,-0.510523342
"16",26.26095583,34,3402,"T1","K2","K201b","K201",0.265973256,-0.474471053
"17",26.396846925,27,2701,"T1","K2","K201c","K201",0.583397576,-0.406892379
"18",26.40850227,28,2803,"T1","K2","K201c","K201",0.639783272,-0.413620773
"19",26.28914571,29,2904,"T1","K2","K201c","K201",0.756835841,-0.463098913
"20",26.22156436,30,3006,"T1","K2","K201c","K201",0.116186128,-0.462109893
"21",26.32101657,31,3102,"T1","K2","K201c","K201",0.812877518,-0.561775774
"22",26.438263855,32,3203,"T1","K2","K201c","K201",0.756212139,-0.534684648
"23",26.31917945,33,3305,"T1","K2","K201c","K201",0.362600103,-0.478444158
"24",26.422506205,34,3406,"T1","K2","K201c","K201",-0.056257118,-0.410245911
"25",26.425956665,27,2704,"T1","K2","K201d","K201",0.447177564,-0.394142849
"26",26.424582585,28,2805,"T1","K2","K201d","K201",0.514310567,-0.482680592
"27",26.464896135,29,2901,"T1","K2","K201d","K201",0.813589139,-0.508805347
"28",26.344990565,30,3002,"T1","K2","K201d","K201",0.686552121,-0.34841087
"29",26.33136031,31,3104,"T1","K2","K201d","K201",0.759243396,-0.566082748
"30",26.34300791,32,3206,"T1","K2","K201d","K201",0.338141485,-0.498594861
"31",26.469831565,33,3301,"T1","K2","K201d","K201",0.735361045,-0.559392766
"32",26.27403809,34,3403,"T1","K2","K201d","K201",0.269043734,-0.405800471
"33",26.31821738,27,2706,"T2","K2","K202a","K202",0.478448692,-0.443181796
"34",26.40407251,28,2801,"T2","K2","K202a","K202",0.608312936,-0.503080576
"35",26.456289475,29,2903,"T2","K2","K202a","K202",0.761988362,-0.472985481
"36",26.46780414,30,3004,"T2","K2","K202a","K202",0.326908851,-0.494450185
"37",26.378185845,31,3106,"T2","K2","K202a","K202",0.512806754,-0.598064601
"38",26.36363632,32,3202,"T2","K2","K202a","K202",0.890858887,-0.548938119
"39",26.34473143,33,3303,"T2","K2","K202a","K202",0.620634752,-0.610175146
"40",26.41858541,34,3405,"T2","K2","K202a","K202",0.106518661,-0.433758283
"41",26.417124825,27,2704,"T2","K2","K202b","K202",0.483261684,-0.364047422
"42",26.435232395,28,2806,"T2","K2","K202b","K202",0.440827126,-0.384398009
"43",26.33052757,29,2901,"T2","K2","K202b","K202",0.691407684,-0.40509443
"44",26.35410647,30,3003,"T2","K2","K202b","K202",0.447253867,-0.469395814
"45",26.34727936,31,3105,"T2","K2","K202b","K202",0.582381139,-0.403624115
"46",26.288387995,32,3206,"T2","K2","K202b","K202",0.111976779,-0.435413866
"47",26.28127358,33,3302,"T2","K2","K202b","K202",0.334285063,-0.467941947
"48",26.37220693,34,3403,"T2","K2","K202b","K202",-0.023890271,-0.300086504
"49",27.0920342,27,2703,"T2","K2","K202c","K202",0.490611458,-0.423085583
"50",27.124964555,28,2804,"T2","K2","K202c","K202",0.539924161,-0.403493512
"51",27.165666485,29,2906,"T2","K2","K202c","K202",0.445339415,-0.435619121
"52",27.17359155,30,3001,"T2","K2","K202c","K202",0.573473959,-0.440319824
"53",27.180141105,31,3103,"T2","K2","K202c","K202",0.73408158,-0.588932169
"54",27.05098725,32,3205,"T2","K2","K202c","K202",0.590550272,-0.378270484
"55",27.13296287,33,3306,"T2","K2","K202c","K202",0.324003956,-0.441669152
"56",27.179737005,34,3402,"T2","K2","K202c","K202",0.149617785,-0.390334727
"57",26.975087165,27,2705,"T2","K2","K202d","K202",0.594449057,-0.405260448
"58",27.165024415,28,2806,"T2","K2","K202d","K202",0.511195981,-0.439298707
"59",27.00744033,29,2902,"T2","K2","K202d","K202",0.687692894,-0.469484299
"60",27.145403925,30,3003,"T2","K2","K202d","K202",0.516028599,-0.551484029
"61",27.227113125,31,3105,"T2","K2","K202d","K202",0.623119808,-0.544795129
"62",27.162567765,32,3201,"T2","K2","K202d","K202",0.79010096,-0.585281652
"63",27.163459615,33,3302,"T2","K2","K202d","K202",0.377156011,-0.529720277
"64",27.127776235,34,3404,"T2","K2","K202d","K202",-0.111120121,-0.474521486
"65",27.29955911,27,2702,"T3","K2","K203a","K203",0.461614113,-0.387159168
"66",27.186243905,28,2803,"T3","K2","K203a","K203",0.49711596,-0.415694306
"67",27.17924261,29,2905,"T3","K2","K203a","K203",0.677886359,-0.448665963
"68",27.169694225,30,3006,"T3","K2","K203a","K203",0.029473732,-0.531159514
"69",27.1069083,31,3102,"T3","K2","K203a","K203",0.798176826,-0.596923415
"70",27.14101971,32,3204,"T3","K2","K203a","K203",0.541939745,-0.551773739
"71",27.10547157,33,3305,"T3","K2","K203a","K203",0.222491971,-0.45462427
"72",27.090344775,34,3401,"T3","K2","K203a","K203",-0.080221642,-0.454638324
"73",27.09397208,27,2701,"T3","K2","K203b","K203",0.58934919,-0.451576326
"74",27.11799962,28,2802,"T3","K2","K203b","K203",0.670793149,-0.53463555
"75",27.13402059,29,2904,"T3","K2","K203b","K203",0.64494678,-0.496755169
"76",27.065994815,30,3005,"T3","K2","K203b","K203",0.196096297,-0.485659378
"77",27.149023385,31,3101,"T3","K2","K203b","K203",0.889417074,-0.617722653
"78",27.121660575,32,3203,"T3","K2","K203b","K203",0.801142963,-0.628694881
"79",27.23054577,33,3304,"T3","K2","K203b","K203",0.317478661,-0.516299099
"80",27.16448477,34,3406,"T3","K2","K203b","K203",-0.1203268,-0.416698997
"81",27.339594945,27,2703,"T3","K2","K203c","K203",0.503687259,-0.367369444
"82",27.24467001,28,2805,"T3","K2","K203c","K203",0.492211558,-0.404040165
