"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","rate.type","individual.ID"
"1","K201a_2706",165.319072740685,0.0063959565875612,26.4465327179892,"K201a","K2","2706",27,"light","T1",30.01574642,609.5,0.6095,0.00389833554011855,0,-0.000441294018056028,0.00433962955817458,0.52048235585502,"NP","K201"
"2","K201a_2706D",169.329107722823,-0.00639652341715021,26.3877169337702,"K201a","K2","2706D",27,"dark","T1",30.01574642,609.5,0.6095,-0.00389868102275305,0,-0.000362934475122222,-0.00353574654763083,-0.424067001145427,"R","K201"
"3","K201a_2801",209.601491304362,0.00812274260088222,27.1207761118684,"K201a","K2","2801",28,"light","T1",30.01574642,609.5,0.6095,0.00495081161523771,0,-0.000103801311043498,0.00505461292628121,0.606235349939112,"NP","K201"
"4","K201a_2801D",213.115478115253,-0.00676187106951477,27.0632922863888,"K201a","K2","2801D",28,"dark","T1",30.01574642,609.5,0.6095,-0.00412136041686926,0,-0.000169487476733313,-0.00395187294013594,-0.47397597199215,"R","K201"
"5","K201a_2903",214.008362794224,0.0105654999873341,28.4809315959928,"K201a","K2","2903",29,"light","T1",30.01574642,609.5,0.6095,0.00643967224228013,0,-0.000227655723264749,0.00666732796554488,0.799659629985693,"NP","K201"
"6","K201a_2903D",223.118294919896,-0.00639811735381297,28.3314465758289,"K201a","K2","2903D",29,"dark","T1",30.01574642,609.5,0.6095,-0.003899652527149,0,-0.000147664913416183,-0.00375198761373282,-0.450002316132246,"R","K201"
"7","K201a_3004",137.419755598698,0.00161609683695572,29.3024329859685,"K201a","K2","3004",30,"light","T1",30.01574642,609.5,0.6095,0.00098501102212451,0,-0.00230526694598057,0.00329027796810508,0.394626224496812,"NP","K201"
"8","K201a_3004D",147.476959497484,-0.0107536358422213,29.2207252416584,"K201a","K2","3004D",30,"dark","T1",30.01574642,609.5,0.6095,-0.00655434104583389,0,-0.00219291127549974,-0.00436142977033414,-0.523097008933317,"R","K201"
"9","K201a_3106",138.35645657187,0.00307122212089069,30.0255191239729,"K201a","K2","3106",31,"light","T1",30.01574642,609.5,0.6095,0.00187190988268288,0,-0.0017630679797247,0.00363497786240758,0.435968512045662,"NP","K201"
"10","K201a_3106D",139.14467319567,-0.00931528365932799,30.0750906828873,"K201a","K2","3106D",31,"dark","T1",30.01574642,609.5,0.6095,-0.00567766539036041,0,-0.00170452680161095,-0.00397313858874946,-0.476526511097106,"R","K201"
"11","K201a_3202",169.481710135068,0.0103251545315206,31.4475717458211,"K201a","K2","3202",32,"light","T1",30.01574642,609.5,0.6095,0.00629318168696179,0,-0.000568562917390246,0.00686174460435204,0.822977387602388,"NP","K201"
"12","K201a_3202D",174.320232693522,-0.00899563138255285,31.4363161749944,"K201a","K2","3202D",32,"dark","T1",30.01574642,609.5,0.6095,-0.00548283732766596,0,-0.000687037954324743,-0.00479579937334122,-0.57519401658206,"R","K201"
"13","K201a_3303",144.436896178172,0.00510760899715006,32.5641591184272,"K201a","K2","3303",33,"light","T1",30.01574642,609.5,0.6095,0.00311308768376296,0,-0.00136296329817683,0.0044760509819398,0.536844338618426,"NP","K201"
"14","K201a_3303D",143.994971656735,-0.00906518014670648,32.5001135409146,"K201a","K2","3303D",33,"dark","T1",30.01574642,609.5,0.6095,-0.0055252272994176,0,-0.000960609111067687,-0.00456461818834991,-0.547466827848411,"R","K201"
"15","K201a_3405",133.792886455575,-0.00268476181982761,32.9270172306584,"K201a","K2","3405",34,"light","T1",30.01574642,609.5,0.6095,-0.00163636232918493,0,-0.00158131850153577,-5.5043827649155e-05,-0.00660179416377672,"NP","K201"
"16","K201a_3405D",128.577292419885,-0.00841713470209118,33.0225342183852,"K201a","K2","3405D",34,"dark","T1",30.01574642,609.5,0.6095,-0.00513024360092457,0,-0.00106448248305258,-0.004065761117872,-0.487635383759322,"R","K201"
"17","K201b_2703",169.519448516765,0.00550379181171941,26.4184765736336,"K201b","K2","2703",27,"light","T1",27.24717131,610.75,0.61075,0.00336144084900763,0,-0.000280198141646153,0.00364163899065378,0.481147206702596,"NP","K201"
"18","K201b_2703D",172.206315566144,-0.00600317868425173,26.3752172837655,"K201b","K2","2703D",27,"dark","T1",27.24717131,610.75,0.61075,-0.00366644138140674,0,-0.000330600998008154,-0.00333584038339859,-0.440743930575556,"R","K201"
"19","K201b_2805",180.245753513223,0.00435833663578993,27.3756992447535,"K201b","K2","2805",28,"light","T1",27.24717131,610.75,0.61075,0.0026618541003087,0,-0.000800714204829195,0.00346256830513789,0.457487706032866,"NP","K201"
"20","K201b_2805D",179.758170251925,-0.00692801034623672,27.3034906538746,"K201b","K2","2805D",28,"dark","T1",27.24717131,610.75,0.61075,-0.00423128231896408,0,-0.000873538228166264,-0.00335774409079781,-0.443637931781775,"R","K201"
"21","K201b_2906",152.029360175157,0.00338640091886492,28.1780680372421,"K201b","K2","2906",29,"light","T1",27.24717131,610.75,0.61075,0.00206824436119675,0,-0.00116399261891965,0.00323223698011641,0.427055454528908,"NP","K201"
"22","K201b_2906D",151.981256563452,-0.00667774015512427,28.1980837218046,"K201b","K2","2906D",29,"dark","T1",27.24717131,610.75,0.61075,-0.00407842979974215,0,-0.00109114408591509,-0.00298728571382706,-0.394691560728379,"R","K201"
"23","K201b_3002",170.182377770784,0.00437878488586597,29.3877759057013,"K201b","K2","3002",30,"light","T1",27.24717131,610.75,0.61075,0.00267434286904264,0,-0.00185908660598495,0.00453342947502759,0.598973960431247,"NP","K201"
"24","K201b_3002D",169.661055626667,-0.00916118212060137,29.3666864005021,"K201b","K2","3002D",30,"dark","T1",27.24717131,610.75,0.61075,-0.00559519198015729,0,-0.00177111203798876,-0.00382407994216853,-0.50525199974627,"R","K201"
"25","K201b_3104",152.295363805537,0.00674416269057152,30.1805817600751,"K201b","K2","3104",31,"light","T1",27.24717131,610.75,0.61075,0.00411899736326656,0,-0.00124662484586452,0.00536562220913108,0.70892643251311,"NP","K201"
"26","K201b_3104D",154.055203816483,-0.00850972969820192,30.1664829308332,"K201b","K2","3104D",31,"dark","T1",27.24717131,610.75,0.61075,-0.00519731741317682,0,-0.00118289294256508,-0.00401442447061174,-0.530401043461648,"R","K201"
"27","K201b_3205",136.165159164887,0.00314796625313039,31.1978655033091,"K201b","K2","3205",32,"light","T1",27.24717131,610.75,0.61075,0.00192262038909938,0,-0.00221215997102705,0.00413478036012643,0.546302921763923,"NP","K201"
"28","K201b_3205D",135.843372764478,-0.00884653933430232,31.2732688494144,"K201b","K2","3205D",32,"dark","T1",27.24717131,610.75,0.61075,-0.00540302389842514,0,-0.00191317222818563,-0.00348985167023951,-0.4610924880944,"R","K201"
"29","K201b_3301",180.192824473868,0.0066760079357136,32.5590044983122,"K201b","K2","3301",33,"light","T1",27.24717131,610.75,0.61075,0.00407737184673708,0,-0.0011606678730526,0.00523803971978968,0.692069748330982,"NP","K201"
"30","K201b_3301D",180.116835452983,-0.00788088624033775,32.6050437636282,"K201b","K2","3301D",33,"dark","T1",27.24717131,610.75,0.61075,-0.00481325127128628,0,-0.000949274335273581,-0.0038639769360127,-0.510523342455754,"R","K201"
"31","K201b_3402",163.004807497717,0.000917174838285415,33.2056713957706,"K201b","K2","3402",34,"light","T1",27.24717131,610.75,0.61075,0.000560164532482817,0,-0.00145289626459567,0.00201306079707849,0.265973255976954,"NP","K201"
"32","K201b_3402D",161.959378492858,-0.0070313804209815,33.247290973253,"K201b","K2","3402D",34,"dark","T1",27.24717131,610.75,0.61075,-0.00429441559211445,0,-0.00070330612655222,-0.00359110946556223,-0.474471053488012,"R","K201"
"33","K201c_2701",185.148053027315,0.0129707304702858,26.4353498874218,"K201c","K2","2701",27,"light","T1",49.75080372,607.125,0.607125,0.00787485473677225,0,-0.000187505895854018,0.00806236063262627,0.583397575661408,"NP","K201"
