,fragment.ID.full,Intercept,umol.L.sec,Temp.C,fragment.ID,genotype,run,trial,temp.Cat,light_dark,treatment,surf.area.cm2,volume.mls,volume,umol.sec,BLANK,blank.rate,umol.sec.corr,umol.cm2.hr,rate.type,individual.ID
1,K201a_2706,165.3190727,0.006395957,26.44653272,K201a,K2,2706,2706,27,light,T1,30.01574642,609.5,0.6095,0.003898336,0,-0.000441294,0.00433963,0.520482356,NP,K201
2,K201a_2706D,169.3291077,-0.006396523,26.38771693,K201a,K2,2706D,2706,27,dark,T1,30.01574642,609.5,0.6095,-0.003898681,0,-0.000362934,-0.003535747,-0.424067001,R,K201
3,K201a_2801,209.6014913,0.008122743,27.12077611,K201a,K2,2801,2801,28,light,T1,30.01574642,609.5,0.6095,0.004950812,0,-0.000103801,0.005054613,0.60623535,NP,K201
4,K201a_2801D,213.1154781,-0.006761871,27.06329229,K201a,K2,2801D,2801,28,dark,T1,30.01574642,609.5,0.6095,-0.00412136,0,-0.000169487,-0.003951873,-0.473975972,R,K201
5,K201a_2903,214.0083628,0.0105655,28.4809316,K201a,K2,2903,2903,29,light,T1,30.01574642,609.5,0.6095,0.006439672,0,-0.000227656,0.006667328,0.79965963,NP,K201
6,K201a_2903D,223.1182949,-0.006398117,28.33144658,K201a,K2,2903D,2903,29,dark,T1,30.01574642,609.5,0.6095,-0.003899653,0,-0.000147665,-0.003751988,-0.450002316,R,K201
7,K201a_3004,137.4197556,0.001616097,29.30243299,K201a,K2,3004,3004,30,light,T1,30.01574642,609.5,0.6095,0.000985011,0,-0.002305267,0.003290278,0.394626224,NP,K201
8,K201a_3004D,147.4769595,-0.010753636,29.22072524,K201a,K2,3004D,3004,30,dark,T1,30.01574642,609.5,0.6095,-0.006554341,0,-0.002192911,-0.00436143,-0.523097009,R,K201
9,K201a_3106,138.3564566,0.003071222,30.02551912,K201a,K2,3106,3106,31,light,T1,30.01574642,609.5,0.6095,0.00187191,0,-0.001763068,0.003634978,0.435968512,NP,K201
10,K201a_3106D,139.1446732,-0.009315284,30.07509068,K201a,K2,3106D,3106,31,dark,T1,30.01574642,609.5,0.6095,-0.005677665,0,-0.001704527,-0.003973139,-0.476526511,R,K201
11,K201a_3202,169.4817101,0.010325155,31.44757175,K201a,K2,3202,3202,32,light,T1,30.01574642,609.5,0.6095,0.006293182,0,-0.000568563,0.006861745,0.822977388,NP,K201
12,K201a_3202D,174.3202327,-0.008995631,31.43631617,K201a,K2,3202D,3202,32,dark,T1,30.01574642,609.5,0.6095,-0.005482837,0,-0.000687038,-0.004795799,-0.575194017,R,K201
13,K201a_3303,144.4368962,0.005107609,32.56415912,K201a,K2,3303,3303,33,light,T1,30.01574642,609.5,0.6095,0.003113088,0,-0.001362963,0.004476051,0.536844339,NP,K201
14,K201a_3303D,143.9949717,-0.00906518,32.50011354,K201a,K2,3303D,3303,33,dark,T1,30.01574642,609.5,0.6095,-0.005525227,0,-0.000960609,-0.004564618,-0.547466828,R,K201
15,K201a_3405,133.7928865,-0.002684762,32.92701723,K201a,K2,3405,3405,34,light,T1,30.01574642,609.5,0.6095,-0.001636362,0,-0.001581319,-5.50E-05,-0.006601794,NP,K201
16,K201a_3405D,128.5772924,-0.008417135,33.02253422,K201a,K2,3405D,3405,34,dark,T1,30.01574642,609.5,0.6095,-0.005130244,0,-0.001064482,-0.004065761,-0.487635384,R,K201
17,K201b_2703,169.5194485,0.005503792,26.41847657,K201b,K2,2703,2703,27,light,T1,27.24717131,610.75,0.61075,0.003361441,0,-0.000280198,0.003641639,0.481147207,NP,K201
18,K201b_2703D,172.2063156,-0.006003179,26.37521728,K201b,K2,2703D,2703,27,dark,T1,27.24717131,610.75,0.61075,-0.003666441,0,-0.000330601,-0.00333584,-0.440743931,R,K201
19,K201b_2805,180.2457535,0.004358337,27.37569924,K201b,K2,2805,2805,28,light,T1,27.24717131,610.75,0.61075,0.002661854,0,-0.000800714,0.003462568,0.457487706,NP,K201
20,K201b_2805D,179.7581703,-0.00692801,27.30349065,K201b,K2,2805D,2805,28,dark,T1,27.24717131,610.75,0.61075,-0.004231282,0,-0.000873538,-0.003357744,-0.443637932,R,K201
21,K201b_2906,152.0293602,0.003386401,28.17806804,K201b,K2,2906,2906,29,light,T1,27.24717131,610.75,0.61075,0.002068244,0,-0.001163993,0.003232237,0.427055455,NP,K201
22,K201b_2906D,151.9812566,-0.00667774,28.19808372,K201b,K2,2906D,2906,29,dark,T1,27.24717131,610.75,0.61075,-0.00407843,0,-0.001091144,-0.002987286,-0.394691561,R,K201
23,K201b_3002,170.1823778,0.004378785,29.38777591,K201b,K2,3002,3002,30,light,T1,27.24717131,610.75,0.61075,0.002674343,0,-0.001859087,0.004533429,0.59897396,NP,K201
24,K201b_3002D,169.6610556,-0.009161182,29.3666864,K201b,K2,3002D,3002,30,dark,T1,27.24717131,610.75,0.61075,-0.005595192,0,-0.001771112,-0.00382408,-0.505252,R,K201
25,K201b_3104,152.2953638,0.006744163,30.18058176,K201b,K2,3104,3104,31,light,T1,27.24717131,610.75,0.61075,0.004118997,0,-0.001246625,0.005365622,0.708926433,NP,K201
26,K201b_3104D,154.0552038,-0.00850973,30.16648293,K201b,K2,3104D,3104,31,dark,T1,27.24717131,610.75,0.61075,-0.005197317,0,-0.001182893,-0.004014424,-0.530401043,R,K201
27,K201b_3205,136.1651592,0.003147966,31.1978655,K201b,K2,3205,3205,32,light,T1,27.24717131,610.75,0.61075,0.00192262,0,-0.00221216,0.00413478,0.546302922,NP,K201
28,K201b_3205D,135.8433728,-0.008846539,31.27326885,K201b,K2,3205D,3205,32,dark,T1,27.24717131,610.75,0.61075,-0.005403024,0,-0.001913172,-0.003489852,-0.461092488,R,K201
29,K201b_3301,180.1928245,0.006676008,32.5590045,K201b,K2,3301,3301,33,light,T1,27.24717131,610.75,0.61075,0.004077372,0,-0.001160668,0.00523804,0.692069748,NP,K201
30,K201b_3301D,180.1168355,-0.007880886,32.60504376,K201b,K2,3301D,3301,33,dark,T1,27.24717131,610.75,0.61075,-0.004813251,0,-0.000949274,-0.003863977,-0.510523342,R,K201
31,K201b_3402,163.0048075,0.000917175,33.2056714,K201b,K2,3402,3402,34,light,T1,27.24717131,610.75,0.61075,0.000560165,0,-0.001452896,0.002013061,0.265973256,NP,K201
32,K201b_3402D,161.9593785,-0.00703138,33.24729097,K201b,K2,3402D,3402,34,dark,T1,27.24717131,610.75,0.61075,-0.004294416,0,-0.000703306,-0.003591109,-0.474471053,R,K201
33,K201c_2701,185.148053,0.01297073,26.43534989,K201c,K2,2701,2701,27,light,T1,49.75080372,607.125,0.607125,0.007874855,0,-0.000187506,0.008062361,0.583397576,NP,K201
34,K201c_2701D,194.572771,-0.009735909,26.38673574,K201c,K2,2701D,2701,27,dark,T1,49.75080372,607.125,0.607125,-0.005910914,0,-0.000287796,-0.005623117,-0.406892379,R,K201
35,K201c_2803,187.7990966,0.013736597,27.30795299,K201c,K2,2803,2803,28,light,T1,49.75080372,607.125,0.607125,0.008339831,0,-0.000501761,0.008841592,0.639783272,NP,K201
36,K201c_2803D,195.846719,-0.010317844,27.29116523,K201c,K2,2803D,2803,28,dark,T1,49.75080372,607.125,0.607125,-0.006264221,0,-0.000548119,-0.005716102,-0.413620773,R,K201
37,K201c_2904,210.5170479,0.016893374,28.6130899,K201c,K2,2904,2904,29,light,T1,49.75080372,607.125,0.607125,0.01025639,0,-0.00020283,0.01045922,0.756835841,NP,K201
38,K201c_2904D,222.7326328,-0.010813624,28.41092264,K201c,K2,2904D,2904,29,dark,T1,49.75080372,607.125,0.607125,-0.006565222,0,-0.000165348,-0.006399873,-0.463098913,R,K201
39,K201c_3006,169.5944362,0.001110242,29.52390021,K201c,K2,3006,3006,30,light,T1,49.75080372,607.125,0.607125,0.000674056,0,-0.000931598,0.001605654,0.116186128,NP,K201
40,K201c_3006D,166.1415886,-0.011880335,29.40703097,K201c,K2,3006D,3006,30,dark,T1,49.75080372,607.125,0.607125,-0.007212848,0,-0.000826643,-0.006386205,-0.462109893,R,K201
41,K201c_3102,181.239526,0.016817271,30.55022914,K201c,K2,3102,3102,31,light,T1,49.75080372,607.125,0.607125,0.010210186,0,-0.001023511,0.011233697,0.812877518,NP,K201
42,K201c_3102D,190.3558135,-0.014512635,30.57396066,K201c,K2,3102D,3102,31,dark,T1,49.75080372,607.125,0.607125,-0.008810983,0,-0.001047429,-0.007763555,-0.561775774,R,K201
43,K201c_3203,169.8343368,0.01589951,31.4359618,K201c,K2,3203,3203,32,light,T1,49.75080372,607.125,0.607125,0.00965299,0,-0.00079761,0.0104506,0.756212139,NP,K201
44,K201c_3203D,177.3805382,-0.013355203,31.43469021,K201c,K2,3203D,3203,32,dark,T1,49.75080372,607.125,0.607125,-0.008108278,0,-0.000719114,-0.007389164,-0.534684648,R,K201
45,K201c_3305,126.8922734,0.005778674,32.36407526,K201c,K2,3305,3305,33,light,T1,49.75080372,607.125,0.607125,0.003508377,0,-0.001502636,0.005011013,0.362600103,NP,K201
46,K201c_3305D,124.532748,-0.012666196,32.39481462,K201c,K2,3305D,3305,33,dark,T1,49.75080372,607.125,0.607125,-0.007689964,0,-0.001078025,-0.006611939,-0.478444158,R,K201
47,K201c_3406,120.1636869,-0.00356957,33.21438022,K201c,K2,3406,3406,34,light,T1,49.75080372,607.125,0.607125,-0.002167175,0,-0.001389721,-0.000777455,-0.056257118,NP,K201
48,K201c_3406D,113.176329,-0.01113636,33.19942911,K201c,K2,3406D,3406,34,dark,T1,49.75080372,607.125,0.607125,-0.006761163,0,-0.001091701,-0.005669462,-0.410245911,R,K201
49,K201d_2704,152.9588791,0.005767191,26.45878894,K201d,K2,2704,2704,27,light,T1,31.38451788,610.375,0.610375,0.003520149,0,-0.00037831,0.003898459,0.447177564,NP,K201
50,K201d_2704D,155.3173538,-0.006291092,26.39312439,K201d,K2,2704D,2704,27,dark,T1,31.38451788,610.375,0.610375,-0.003839925,0,-0.000403819,-0.003436106,-0.394142849,R,K201
51,K201d_2805,184.9033096,0.006034004,27.25797298,K201d,K2,2805,2805,28,light,T1,31.38451788,610.375,0.610375,0.003683005,0,-0.000800714,0.004483719,0.514310567,NP,K201
52,K201d_2805D,184.9487835,-0.008325226,27.23136704,K201d,K2,2805D,2805,28,dark,T1,31.38451788,610.375,0.610375,-0.00508151,0,-0.000873538,-0.004207972,-0.482680592,R,K201
53,K201d_2901,217.397706,0.011612767,28.37720234,K201d,K2,2901,2901,29,light,T1,31.38451788,610.375,0.610375,0.007088143,0,-4.66E-06,0.007092806,0.813589139,NP,K201
54,K201d_2901D,224.0914596,-0.007457898,28.24751748,K201d,K2,2901D,2901,29,dark,T1,31.38451788,610.375,0.610375,-0.004552114,0,-0.000116389,-0.004435725,-0.508805347,R,K201
55,K201d_3002,176.2697712,0.006760141,29.57047449,K201d,K2,3002,3002,30,light,T1,31.38451788,610.375,0.610375,0.004126221,0,-0.001859087,0.005985308,0.686552121,NP,K201
56,K201d_3002D,178.3402917,-0.007877994,29.51082922,K201d,K2,3002D,3002,30,dark,T1,31.38451788,610.375,0.610375,-0.004808531,0,-0.001771112,-0.003037419,-0.34841087,R,K201
57,K201d_3104,151.1027316,0.008801801,29.96914889,K201d,K2,3104,3104,31,light,T1,31.38451788,610.375,0.610375,0.0053724,0,-0.001246625,0.006619024,0.759243396,NP,K201
58,K201d_3104D,153.750167,-0.010023277,30.00166576,K201d,K2,3104D,3104,31,dark,T1,31.38451788,610.375,0.610375,-0.006117958,0,-0.001182893,-0.004935065,-0.566082748,R,K201
59,K201d_3206,129.9304212,0.001818075,31.3169683,K201d,K2,3206,3206,32,light,T1,31.38451788,610.375,0.610375,0.001109708,0,-0.001838183,0.002947891,0.338141485,NP,K201
60,K201d_3206D,128.6155541,-0.009821442,31.35663829,K201d,K2,3206D,3206,32,dark,T1,31.38451788,610.375,0.610375,-0.005994763,0,-0.001648052,-0.004346711,-0.498594861,R,K201
61,K201d_3301,178.3399441,0.008601519,32.53086145,K201d,K2,3301,3301,33,light,T1,31.38451788,610.375,0.610375,0.005250152,0,-0.001160668,0.00641082,0.735361045,NP,K201
62,K201d_3301D,178.6928729,-0.009544979,32.5793994,K201d,K2,3301D,3301,33,dark,T1,31.38451788,610.375,0.610375,-0.005826017,0,-0.000949274,-0.004876742,-0.559392766,R,K201
63,K201d_3403,144.2703595,0.000846214,33.27699033,K201d,K2,3403,3403,34,light,T1,31.38451788,610.375,0.610375,0.000516508,0,-0.001828995,0.002345502,0.269043734,NP,K201
64,K201d_3403D,141.2136515,-0.008123998,33.27883445,K201d,K2,3403D,3403,34,dark,T1,31.38451788,610.375,0.610375,-0.004958685,0,-0.001420949,-0.003537737,-0.405800471,R,K201
65,K202a_2706,163.1673696,0.007375319,26.46119376,K202a,K2,2706,2706,27,light,T2,37.1857966,610.25,0.61025,0.004500788,0,-0.000441294,0.004942082,0.478448692,NP,K202
66,K202a_2706D,167.8124186,-0.008096241,26.40927103,K202a,K2,2706D,2706,27,dark,T2,37.1857966,610.25,0.61025,-0.004940731,0,-0.000362934,-0.004577797,-0.443181796,R,K202
67,K202a_2801,205.5347597,0.010126504,27.14709405,K202a,K2,2801,2801,28,light,T2,37.1857966,610.25,0.61025,0.006179699,0,-0.000103801,0.0062835,0.608312936,NP,K202
68,K202a_2801D,209.508514,-0.008793121,27.10283506,K202a,K2,2801D,2801,28,dark,T2,37.1857966,610.25,0.61025,-0.005366002,0,-0.000169487,-0.005196514,-0.503080576,R,K202
69,K202a_2903,213.1384968,0.012524732,28.34466775,K202a,K2,2903,2903,29,light,T2,37.1857966,610.25,0.61025,0.007643218,0,-0.000227656,0.007870873,0.761988362,NP,K202
70,K202a_2903D,224.0640007,-0.008247956,28.26212373,K202a,K2,2903D,2903,29,dark,T2,37.1857966,610.25,0.61025,-0.005033315,0,-0.000147665,-0.004885651,-0.472985481,R,K202
71,K202a_3004,130.7208527,0.00175584,29.42415932,K202a,K2,3004,3004,30,light,T2,37.1857966,610.25,0.61025,0.001071501,0,-0.002305267,0.003376768,0.326908851,NP,K202
72,K202a_3004D,141.8327037,-0.011962768,29.33921897,K202a,K2,3004D,3004,30,dark,T2,37.1857966,610.25,0.61025,-0.007300279,0,-0.002192911,-0.005107368,-0.494450185,R,K202
73,K202a_3106,139.5839925,0.005790925,29.99159624,K202a,K2,3106,3106,31,light,T2,37.1857966,610.25,0.61025,0.003533912,0,-0.001763068,0.00529698,0.512806754,NP,K202
74,K202a_3106D,142.4103634,-0.012916293,30.05710234,K202a,K2,3106D,3106,31,dark,T2,37.1857966,610.25,0.61025,-0.007882168,0,-0.001704527,-0.006177641,-0.598064601,R,K202
75,K202a_3202,168.3662049,0.014147422,31.43756074,K202a,K2,3202,3202,32,light,T2,37.1857966,610.25,0.61025,0.008633464,0,-0.000568563,0.009202027,0.890858887,NP,K202
76,K202a_3202D,175.415508,-0.010417424,31.44218875,K202a,K2,3202D,3202,32,dark,T2,37.1857966,610.25,0.61025,-0.006357233,0,-0.000687038,-0.005670195,-0.548938119,R,K202
77,K202a_3303,147.3159431,0.008271715,32.32356975,K202a,K2,3303,3303,33,light,T2,37.1857966,610.25,0.61025,0.005047814,0,-0.001362963,0.006410777,0.620634752,NP,K202
78,K202a_3303D,148.0499157,-0.011902245,32.33332576,K202a,K2,3303D,3303,33,dark,T2,37.1857966,610.25,0.61025,-0.007263345,0,-0.000960609,-0.006302736,-0.610175146,R,K202
