"","temp.Cat","light_dark","run","blank.rate"
"291",27,"light","2701",-0.000187505895854018
"292",27,"dark","2701D",-0.000287796468557096
"293",27,"light","2702",-0.000135856160381457
"294",27,"dark","2702D",-0.000191109202701504
"295",27,"light","2703",-0.000280198141646153
"296",27,"dark","2703D",-0.000330600998008154
"297",27,"light","2704",-0.000378309768965196
"298",27,"dark","2704D",-0.00040381851779465
"299",27,"light","2705",-0.000462089919261051
"300",27,"dark","2705D",-0.000412565460653462
"301",27,"light","2706",-0.000441294018056028
"302",27,"dark","2706D",-0.000362934475122222
"303",28,"light","2801",-0.000103801311043498
"304",28,"dark","2801D",-0.000169487476733313
"305",28,"light","2802",-0.000365869882294279
"306",28,"dark","2802D",-0.000375730661258028
"307",28,"light","2803",-0.000501760915779508
"308",28,"dark","2803D",-0.000548119209807916
"309",28,"light","2804",-0.000693769818509738
"310",28,"dark","2804D",-0.000631231383853195
"311",28,"light","2805",-0.000800714204829195
"312",28,"dark","2805D",-0.000873538228166264
"313",28,"light","2806",-0.000995615818379439
"314",28,"dark","2806D",-0.0010056114985702
"315",29,"light","2901",-4.66344355378892e-06
"316",29,"dark","2901D",-0.000116389094995457
"317",29,"light","2902",-4.7492723859055e-05
"318",29,"dark","2902D",-3.71346155437918e-05
"319",29,"light","2903",-0.000227655723264749
"320",29,"dark","2903D",-0.000147664913416183
"321",29,"light","2904",-0.00020282988285513
"322",29,"dark","2904D",-0.000165348491288695
"323",29,"light","2905",-0.00149487215639374
"324",29,"dark","2905D",-0.000930057451079428
"325",29,"light","2906",-0.00116399261891965
"326",29,"dark","2906D",-0.00109114408591509
"327",30,"light","3001",-0.00136760501875597
"328",30,"dark","3001D",-0.00145734177648571
"329",30,"light","3002",-0.00185908660598495
"330",30,"dark","3002D",-0.00177111203798876
"331",30,"light","3003",-0.00198524759884566
"332",30,"dark","3003D",-0.00186499962690864
"333",30,"light","3004",-0.00230526694598057
"334",30,"dark","3004D",-0.00219291127549974
"335",30,"light","3005",-0.00244882350663001
"336",30,"dark","3005D",-0.00237600533702276
"337",30,"light","3006",-0.000931597916251133
"338",30,"dark","3006D",-0.00082664322546101
"339",31,"light","3101",-0.000597733956942075
"340",31,"dark","3101D",-0.000855325944663671
"341",31,"light","3102",-0.00102351146105465
"342",31,"dark","3102D",-0.00104742878541714
"343",31,"light","3103",-0.00115777987582816
"344",31,"dark","3103D",-0.00107404755255364
"345",31,"light","3104",-0.00124662484586452
"346",31,"dark","3104D",-0.00118289294256508
"347",31,"light","3105",-0.00146388082624255
"348",31,"dark","3105D",-0.00109415023775525
"349",31,"light","3106",-0.0017630679797247
"350",31,"dark","3106D",-0.00170452680161095
"351",32,"light","3201",-0.00090969703832526
"352",32,"dark","3201D",-0.000652855648792728
"353",32,"light","3202",-0.000568562917390246
"354",32,"dark","3202D",-0.000687037954324743
"355",32,"light","3203",-0.000797610320689466
"356",32,"dark","3203D",-0.000719113504557695
"357",32,"light","3204",-0.0017948350809973
"358",32,"dark","3204D",-0.00110786857695574
"359",32,"light","3205",-0.00221215997102705
"360",32,"dark","3205D",-0.00191317222818563
"361",32,"light","3206",-0.001838183412601
"362",32,"dark","3206D",-0.0016480517580071
"363",33,"light","3301",-0.0011606678730526
"364",33,"dark","3301D",-0.000949274335273581
"365",33,"light","3302",-0.00156549097717531
"366",33,"dark","3302D",-0.00112683759479283
"367",33,"light","3303",-0.00136296329817683
"368",33,"dark","3303D",-0.000960609111067687
"369",33,"light","3304",-0.00097727328841093
"370",33,"dark","3304D",-0.00089122491429647
"371",33,"light","3305",-0.00150263552007718
"372",33,"dark","3305D",-0.00107802483388282
"373",33,"light","3306",-0.00120987816701275
"374",33,"dark","3306D",-0.000784077828022438
"375",34,"light","3401",-0.000490967835114409
"376",34,"dark","3401D",-0.000508912799752057
"377",34,"light","3402",-0.00145289626459567
"378",34,"dark","3402D",-0.00070330612655222
"379",34,"light","3403",-0.00182899460229659
"380",34,"dark","3403D",-0.00142094873047685
"381",34,"light","3404",-0.00181606813952295
"382",34,"dark","3404D",-0.00116691317298271
"383",34,"light","3405",-0.00158131850153577
"384",34,"dark","3405D",-0.00106448248305258
"385",34,"light","3406",-0.001389720716516
"386",34,"dark","3406D",-0.00109170067751557
"387",34,"light","3407",-0.00158553305308763
"388",34,"dark","3407D",-0.00111298859422319
